target,sample_id,thana,observed_value,upper_3iqr_threshold,bdl_status,unit_correctness,duplicate_status,hydrochemical_plausibility,audit_status,action_taken,justification
Ni_num,S98_01826,Pabna Sadar,8.9,10.0,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (8.90) represents natural hydrogeochemical mineralization spike for Pabna Sadar; retained per protocol.
Fe_num,S98_01834,Sherpur,19.6,3.7982,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (19.60) represents natural hydrogeochemical mineralization spike for Sherpur; retained per protocol.
Zn_num,S98_01788,Baliadangi,58.0,57.0,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (58.00) represents natural hydrogeochemical mineralization spike for Baliadangi; retained per protocol.
Zn_num,S98_01800,Rangpur Sadar,96.0,57.0,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (96.00) represents natural hydrogeochemical mineralization spike for Rangpur Sadar; retained per protocol.
Zn_num,S98_01807,Jaipurhat Sadar,91.0,57.0,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (91.00) represents natural hydrogeochemical mineralization spike for Jaipurhat Sadar; retained per protocol.
Zn_num,S98_01813,Gomastapur,78.0,57.0,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (78.00) represents natural hydrogeochemical mineralization spike for Gomastapur; retained per protocol.
Cd,S98_01796,Domar,57.25,45.2554,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (57.25) represents natural hydrogeochemical mineralization spike for Domar; retained per protocol.
Cd,S98_01834,Sherpur,84.8971,45.2554,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (84.90) represents natural hydrogeochemical mineralization spike for Sherpur; retained per protocol.
HPI,S98_01796,Domar,275.9348,239.7274,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (275.93) represents natural hydrogeochemical mineralization spike for Domar; retained per protocol.
HPI,S98_01828,Bera,244.561,239.7274,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (244.56) represents natural hydrogeochemical mineralization spike for Bera; retained per protocol.
HPI,S98_01834,Sherpur,319.3336,239.7274,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (319.33) represents natural hydrogeochemical mineralization spike for Sherpur; retained per protocol.
HEI,S98_01796,Domar,63.25,51.2554,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (63.25) represents natural hydrogeochemical mineralization spike for Domar; retained per protocol.
HEI,S98_01834,Sherpur,90.8971,51.2554,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (90.90) represents natural hydrogeochemical mineralization spike for Sherpur; retained per protocol.
WQI,S98_01796,Domar,112.9265,97.7797,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (112.93) represents natural hydrogeochemical mineralization spike for Domar; retained per protocol.
WQI,S98_01828,Bera,107.4217,97.7797,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (107.42) represents natural hydrogeochemical mineralization spike for Bera; retained per protocol.
WQI,S98_01834,Sherpur,132.0116,97.7797,NO,PASS,UNIQUE_SAMPLE,PLAUSIBLE,VALID_MEASUREMENT,RETAIN_SAMPLE,Concentration (132.01) represents natural hydrogeochemical mineralization spike for Sherpur; retained per protocol.
