variable,source_file,available,sample_count,missing_count,unit,scientific_relevance,already_used,eligible_for_stage5,reason
pct_SO4_NO3,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Facies,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Gibbs_Cation,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Gibbs_Anion,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Gibbs_Mechanism,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Ratio_Na_Cl,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Ratio_Ca_Mg,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Ratio_CaMg_HCO3SO4,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
CAI_1,phase2_risk_indices_results.csv,True,40,0,N/A,Core baseline predictor from Stage 3.3,True,True,Already included in Stage 3.3
CAI_2,phase2_risk_indices_results.csv,True,40,0,N/A,Core baseline predictor from Stage 3.3,True,True,Already included in Stage 3.3
Ion_Exchange_Process,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Fe_mgL,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Mn_mgL,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Fe_ugL,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Mn_ugL,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
As_ugL,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Pb_ugL,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Ni_ugL,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Zn_ugL,phase2_risk_indices_results.csv,True,35,5,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Cd_ugL,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
WQI,phase2_risk_indices_results.csv,True,40,0,N/A,Target variable,False,False,Target variable for prediction
WQI_Category,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
HPI,phase2_risk_indices_results.csv,True,40,0,N/A,Target variable,False,False,Target variable for prediction
HEI,phase2_risk_indices_results.csv,True,40,0,N/A,Target variable,False,False,Target variable for prediction
HPI_Polluted,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
HEI_Category,phase2_risk_indices_results.csv,True,40,0,N/A,Administrative metadata / derived hydrochemical index,False,False,Metadata or secondary index
Latitude,phase2_risk_indices_results.csv,True,40,0,N/A,Thana administrative centroid coordinates,False,False,Thana centroid level resolution only; insufficient for sample spatial ML
Longitude,phase2_risk_indices_results.csv,True,40,0,N/A,Thana administrative centroid coordinates,False,False,Thana centroid level resolution only; insufficient for sample spatial ML
DO,NOT_AVAILABLE,False,0,40,N/A,Dissolved Oxygen,False,False,Not measured in raw dataset; fabrication forbidden
ORP_Eh,NOT_AVAILABLE,False,0,40,N/A,Oxidation-Reduction Potential (Eh),False,False,Not measured in raw dataset; fabrication forbidden
DOC_TOC,NOT_AVAILABLE,False,0,40,N/A,Dissolved/Total Organic Carbon,False,False,Not measured in raw dataset; fabrication forbidden
Temperature,NOT_AVAILABLE,False,0,40,N/A,Groundwater Temperature,False,False,Not measured in raw dataset; fabrication forbidden
Aquifer_Lithology_Borelog,NOT_AVAILABLE,False,0,40,N/A,Subsurface Lithology Borelog Data,False,False,Not measured in raw dataset; fabrication forbidden
Distance_to_River,NOT_AVAILABLE,False,0,40,N/A,GIS Distance to Surface River Network,False,False,Not measured in raw dataset; fabrication forbidden
