variable_name,unit,raw_source_availability,measurement_type,whether_field_measurable,laboratory_requirement,measurement_complexity,scientific_justification,missingness_count,number_of_unique_values,can_be_used_as_predictor,classification
Pb_ugL,N/A,AVAILABLE,Administrative metadata / Centroid coordinate,N/A,NO,NONE,Metadata or centroid coordinate; spatial leakage risk.,0,32,False,F. UNSUITABLE / LEAKAGE-RISK VARIABLE
Ni_ugL,N/A,AVAILABLE,Administrative metadata / Centroid coordinate,N/A,NO,NONE,Metadata or centroid coordinate; spatial leakage risk.,0,28,False,F. UNSUITABLE / LEAKAGE-RISK VARIABLE
Zn_ugL,N/A,AVAILABLE,Administrative metadata / Centroid coordinate,N/A,NO,NONE,Metadata or centroid coordinate; spatial leakage risk.,5,24,False,F. UNSUITABLE / LEAKAGE-RISK VARIABLE
Cd_ugL,N/A,AVAILABLE,Administrative metadata / Centroid coordinate,N/A,NO,NONE,Metadata or centroid coordinate; spatial leakage risk.,0,19,False,F. UNSUITABLE / LEAKAGE-RISK VARIABLE
WQI,N/A,AVAILABLE,Heavy metal target / Calculated composite risk index,NO,YES (AAS / Hydride generation / ICP-MS),VERY HIGH,Primary water quality or heavy metal screening target.,0,40,False,E. TARGET / RISK INDEX
WQI_Category,N/A,AVAILABLE,Administrative metadata / Centroid coordinate,N/A,NO,NONE,Metadata or centroid coordinate; spatial leakage risk.,0,3,False,F. UNSUITABLE / LEAKAGE-RISK VARIABLE
HPI,N/A,AVAILABLE,Heavy metal target / Calculated composite risk index,NO,YES (AAS / Hydride generation / ICP-MS),VERY HIGH,Primary water quality or heavy metal screening target.,0,40,False,E. TARGET / RISK INDEX
HEI,N/A,AVAILABLE,Heavy metal target / Calculated composite risk index,NO,YES (AAS / Hydride generation / ICP-MS),VERY HIGH,Primary water quality or heavy metal screening target.,0,40,False,E. TARGET / RISK INDEX
HPI_Polluted,N/A,AVAILABLE,Administrative metadata / Centroid coordinate,N/A,NO,NONE,Metadata or centroid coordinate; spatial leakage risk.,0,2,False,F. UNSUITABLE / LEAKAGE-RISK VARIABLE
HEI_Category,N/A,AVAILABLE,Administrative metadata / Centroid coordinate,N/A,NO,NONE,Metadata or centroid coordinate; spatial leakage risk.,0,3,False,F. UNSUITABLE / LEAKAGE-RISK VARIABLE
Latitude,N/A,AVAILABLE,Administrative metadata / Centroid coordinate,N/A,NO,NONE,Metadata or centroid coordinate; spatial leakage risk.,0,40,False,F. UNSUITABLE / LEAKAGE-RISK VARIABLE
Longitude,N/A,AVAILABLE,Administrative metadata / Centroid coordinate,N/A,NO,NONE,Metadata or centroid coordinate; spatial leakage risk.,0,40,False,F. UNSUITABLE / LEAKAGE-RISK VARIABLE
